metodo,dataset,tn,fp,fn,tp,accuracy,precision,recall,f1,roc_auc,mcc,time_fs,model,datasets,malware,benigno
mt,kronodroid_real_device,34860.0,1895.0,1943.0,34812.0,0.9477894164059312,0.9483749693518948,0.9471364440212215,0.9477553020609296,0.9477894164059312,0.8955795965139904,5.956037759780884,rf,,,
mt,kronodroid_real_device,34029.0,2726.0,2037.0,34718.0,0.935206094408924,0.9271979489370794,0.9445789688477758,0.9358077602124018,0.935206094408924,0.8705651619065853,5.956037759780884,knn,,,
mt,mh_100k,11072.0,1649.0,1174.0,11547.0,0.889041742001415,0.8750378902697787,0.9077116578885308,0.891075355943975,0.889041742001415,0.7786264783973035,23.999938249588013,svm,,,
mt,mh_100k,10975.0,1746.0,1201.0,11520.0,0.8841679113277258,0.8683853459972863,0.9055891832403112,0.8865971447262092,0.8841679113277259,0.7690419287248939,23.999938249588013,rf,,,
mt,mh_100k,10874.0,1847.0,1594.0,11127.0,0.8647511988051254,0.8576383536303376,0.8746953855828944,0.8660828955049621,0.8647511988051254,0.7296467168147905,23.999938249588013,knn,,,
rfg,adroit,3312.0,106.0,1029.0,2389.0,0.8339672322995904,0.9575150300601204,0.6989467524868344,0.8080500591916117,0.8339672322995905,0.6937064676575178,66.63157367706299,svm,,,
rfg,adroit,3259.0,159.0,950.0,2468.0,0.8377706260971328,0.9394746859535592,0.722059684025746,0.8165425971877585,0.8377706260971328,0.6943915601487262,66.63157367706299,rf,,,
rfg,adroit,3112.0,306.0,876.0,2542.0,0.8270918665886483,0.8925561797752809,0.7437097717963721,0.8113629109479732,0.8270918665886483,0.6634744940096553,66.63157367706299,knn,,,
rfg,androcrawl,9368.0,802.0,1465.0,8705.0,0.8885447394296951,0.9156411065530662,0.8559488692232055,0.8847893479697109,0.8885447394296953,0.7787460618191487,227.84528398513797,svm,,,
rfg,androcrawl,9343.0,827.0,1437.0,8733.0,0.8886922320550639,0.9134937238493724,0.8587020648967552,0.885250886974151,0.888692232055064,0.7787866235134476,227.84528398513797,rf,,,
rfg,androcrawl,9064.0,1106.0,1276.0,8894.0,0.8828908554572271,0.8894,0.8745329400196656,0.881903817550818,0.8828908554572271,0.7658887203209704,227.84528398513797,knn,,,
rfg,android_permissions,3831.0,5246.0,2895.0,6182.0,0.5515588850941942,0.5409520476023801,0.6810620248980941,0.6029748841745916,0.551558885094194,0.1067609184706897,228.17659950256348,svm,,,
rfg,android_permissions,3786.0,5291.0,2886.0,6191.0,0.5495758510521097,0.5391917784358126,0.6820535419191363,0.6022666472104674,0.5495758510521097,0.1028266576353283,228.17659950256348,rf,,,
rfg,android_permissions,3642.0,5435.0,3692.0,5385.0,0.4972457860526605,0.4976894639556377,0.593257684256913,0.5412876313012012,0.4972457860526605,-0.0056128821166434,228.17659950256348,knn,,,
rfg,defensedroid_apicalls_closeness,4879.0,343.0,720.0,4502.0,0.8982190731520491,0.9292053663570692,0.8621217924166986,0.8944074699513261,0.8982190731520491,0.7985218346686564,667.5831732749939,svm,,,
rfg,defensedroid_apicalls_closeness,4966.0,256.0,451.0,4771.0,0.9323056300268096,0.949074995026855,0.9136346227499044,0.9310176602595376,0.9323056300268096,0.8652147094586599,667.5831732749939,rf,,,
rfg,defensedroid_apicalls_closeness,4859.0,363.0,605.0,4617.0,0.9073152049023364,0.9271084337349398,0.8841440061279203,0.9051166437953344,0.9073152049023364,0.8155065787030285,667.5831732749939,knn,,,
rfg,defensedroid_apicalls_degree,4629.0,593.0,631.0,4591.0,0.8828035235541938,0.8856095679012346,0.8791650708540789,0.8823755525658274,0.8828035235541939,0.7656273186432832,608.8309893608093,svm,,,
rfg,defensedroid_apicalls_degree,4991.0,231.0,477.0,4745.0,0.9322098812715436,0.9535771704180064,0.9086556874760628,0.9305746224749952,0.9322098812715434,0.865380522174531,608.8309893608093,rf,,,
rfg,defensedroid_apicalls_degree,4798.0,424.0,632.0,4590.0,0.8988893144389123,0.915436777024332,0.8789735733435465,0.8968347010550997,0.8988893144389123,0.7984122395519957,608.8309893608093,knn,,,
rfg,defensedroid_apicalls_katz,4868.0,354.0,644.0,4578.0,0.9044427422443508,0.9282238442822384,0.8766756032171582,0.9017136103998424,0.9044427422443508,0.8101357011183241,609.5924689769745,svm,,,
